Date,Open,High,Low,Close,Volume
20-Jul-17,65178.17,65505.38,64897.81,64938.02,-
19-Jul-17,65337.00,65603.89,64873.93,65103.11,-
18-Jul-17,65208.25,65337.67,64942.98,65337.67,-
17-Jul-17,65431.28,65478.17,65119.24,65212.31,-
14-Jul-17,65178.35,65624.38,65178.35,65436.18,-
13-Jul-17,64854.26,65302.33,64854.26,65178.35,-
12-Jul-17,63840.28,64937.87,63826.98,64835.55,-
11-Jul-17,63026.82,63891.30,62907.74,63832.15,-
10-Jul-17,62322.40,63135.40,62322.40,63025.47,-
7-Jul-17,62474.44,62925.92,62035.10,62322.40,-
6-Jul-17,63156.03,63188.31,62353.93,62470.33,-
5-Jul-17,63215.17,63484.59,62708.27,63154.17,-
4-Jul-17,63268.07,63345.59,63075.83,63231.59,-
3-Jul-17,62900.91,63337.53,62900.91,63279.58,-
30-Jun-17,62237.83,63037.57,62237.83,62899.97,-
29-Jun-17,62009.85,62498.52,61689.36,62238.95,-
28-Jun-17,61684.26,62057.28,61433.33,62017.97,-
27-Jun-17,62188.32,62424.16,61580.43,61675.46,-
26-Jun-17,61087.85,62250.97,61087.85,62188.09,-
23-Jun-17,61272.22,61399.79,60991.55,61087.14,-
22-Jun-17,60762.42,61353.61,60758.22,61272.22,-
21-Jun-17,60783.05,61187.64,60543.61,60761.74,-
20-Jun-17,62010.56,62010.56,60766.16,60766.16,-
19-Jun-17,61619.86,62272.28,61619.86,62014.03,-
16-Jun-17,61911.45,61921.24,61269.39,61626.41,-
14-Jun-17,61830.77,62475.10,61507.58,61922.93,-
13-Jun-17,61708.42,62011.87,61510.01,61828.99,-
12-Jun-17,62218.56,62286.33,61278.79,61700.23,-
9-Jun-17,62755.23,63065.79,62095.46,62210.56,-
8-Jun-17,63170.97,63170.97,62376.30,62755.57,-
7-Jun-17,62954.86,63636.64,62911.55,63170.73,-
6-Jun-17,62449.93,63301.98,62426.20,62954.69,-
5-Jun-17,62503.01,62800.45,62009.52,62450.45,-
2-Jun-17,62289.20,62773.25,62160.72,62510.69,-
1-Jun-17,62711.47,63293.49,62165.21,62288.52,-
31-May-17,63960.81,63984.42,62672.65,62711.47,-
30-May-17,63764.94,64107.22,63720.09,63962.26,-
29-May-17,64054.84,64054.84,63530.67,63760.94,-
26-May-17,63227.51,64170.25,63227.51,64085.41,-
25-May-17,63256.47,63991.40,62761.80,63226.79,-
24-May-17,62672.62,64015.79,62672.62,63257.36,-
23-May-17,61670.21,62774.63,61670.21,62662.48,-
22-May-17,62638.49,62638.49,60924.77,61673.49,-
19-May-17,61596.81,63488.18,61596.81,62639.31,-
18-May-17,67535.78,67535.78,60314.70,61597.06,-
17-May-17,68674.01,68674.01,67163.37,67540.25,-
16-May-17,68473.34,68791.87,68124.24,68684.50,-
15-May-17,68226.67,68592.96,68081.18,68474.19,-
12-May-17,67536.28,68428.74,67536.28,68221.94,-
11-May-17,67355.06,67709.44,67191.39,67537.61,-
10-May-17,66283.75,67528.40,66283.75,67349.73,-
9-May-17,65533.47,66535.63,65533.47,66277.67,-
8-May-17,65705.29,66014.81,65295.20,65526.04,-
5-May-17,64868.68,65768.15,64863.26,65709.74,-
4-May-17,66069.19,66098.82,64720.93,64862.61,-
3-May-17,66720.39,66757.94,65898.48,66093.78,-
2-May-17,65404.05,66877.02,65404.05,66721.75,-
28-Apr-17,64679.27,65403.25,64591.58,65403.25,-
27-Apr-17,64871.78,65326.50,64292.09,64676.55,-
26-Apr-17,65143.68,65436.30,64679.05,64861.92,-
25-Apr-17,64383.50,65148.35,63875.22,65148.35,-
24-Apr-17,63761.21,64753.68,63761.21,64389.01,-
20-Apr-17,63406.12,64163.40,63388.19,63760.62,-
19-Apr-17,64164.93,64572.29,63218.81,63406.97,-
18-Apr-17,64335.74,64590.70,63716.75,64158.84,-
17-Apr-17,62827.58,64423.68,62827.58,64334.93,-
13-Apr-17,63891.14,63991.80,62826.28,62826.28,-
12-Apr-17,64362.46,64455.66,63814.16,63891.68,-
11-Apr-17,64650.29,64871.81,63351.37,64359.79,-
10-Apr-17,64593.10,64927.58,64115.05,64649.81,-
7-Apr-17,64201.84,65197.30,64016.16,64593.10,-
6-Apr-17,64774.76,64921.20,63762.13,64222.72,-
5-Apr-17,65769.94,66211.17,64492.59,64774.76,-
4-Apr-17,65211.70,65775.01,64989.53,65768.91,-
3-Apr-17,64989.21,65384.21,64774.19,65211.48,-
31-Mar-17,65266.22,65596.61,64859.03,64984.07,-
30-Mar-17,65541.26,65775.41,65070.19,65265.98,-
29-Mar-17,64635.56,65551.37,64476.06,65528.29,-
28-Mar-17,64308.08,64847.15,64041.70,64640.45,-
27-Mar-17,63829.32,64356.32,63030.09,64308.39,-
24-Mar-17,63553.78,63997.33,63468.60,63853.77,-
23-Mar-17,63521.33,63942.06,62840.03,63530.79,-
22-Mar-17,62980.03,63747.06,62496.17,63521.33,-
21-Mar-17,64883.93,64964.54,62794.75,62980.37,-
20-Mar-17,64231.73,65135.89,63672.13,64884.27,-
17-Mar-17,65783.48,66205.10,64151.75,64209.94,-
16-Mar-17,66232.18,66554.15,65530.52,65782.85,-
15-Mar-17,64701.86,66317.67,64537.21,66234.87,-
14-Mar-17,65511.27,65549.40,64699.46,64699.46,-
13-Mar-17,64674.12,65651.25,64674.12,65534.30,-
10-Mar-17,64585.90,65724.82,64471.98,64675.46,-
9-Mar-17,64718.02,65067.91,64202.84,64585.24,-
8-Mar-17,65747.70,65809.51,64496.42,64718.02,-
7-Mar-17,66343.00,66641.04,65667.94,65742.32,-
6-Mar-17,66786.01,66891.75,66118.70,66341.37,-
3-Mar-17,65860.37,66800.75,65860.37,66785.53,-
2-Mar-17,67000.38,67035.31,65593.85,65854.93,-
1-Mar-17,66661.27,67397.88,66661.27,66988.88,-
24-Feb-17,67458.48,67458.48,66452.07,66662.10,-
23-Feb-17,68590.50,69487.58,67279.36,67461.39,-
22-Feb-17,69052.09,69052.09,68282.04,68589.54,-
21-Feb-17,68536.46,69111.74,68536.46,69052.03,-
20-Feb-17,67756.15,68673.90,67756.15,68532.86,-
